,"parameter","default","ui control type","level","parameter labels","description","auxiliary ui controls",
"ts_freqanalysis_fieldtrip","foi","[2:12 14:2:24 25:5:55 70:10:200]","edit","basic","frequencies","Frequencies of interest (Hz)",,
"ts_freqanalysis_fieldtrip","toi",,"edit",,"times",,,
"ts_freqanalysis_fieldtrip","toilim","[]","edit","basic","time limits",,,
"ts_freqanalysis_fieldtrip","sf","[1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 5 5 5 5 5 5 5 10 10 10 10 10 10 10 10 10 10 10 10 10 10]","edit","basic","spectral resolution","Spectral resolution in standard deviations of the gaussian. Either give one value per frequency or a single value to have a constant frequency resolution. Since time and frequency resolution scale inversely, constant frequency resolution implies constant resolution in time. As sf decreases the frequency resolution increases and time resolution decreases.  The opposite is true of increasing sf.",,
"ts_freqanalysis_fieldtrip","st",,"edit",,"temporal resolution",,,
"ts_freqanalysis_fieldtrip","chantype","all","edit","basic",,,,
"ts_freqanalysis_fieldtrip","output","pow","edit","basic",,,,
"ts_freqanalysis_fieldtrip","method","wltconvol","edit","basic","TF method","method for time-frequency analysis (default = wltconvol - complex morlet wavelet analysis)",,
"ts_freqanalysis_fieldtrip","savecomplex_flag",0,"edit","basic","complex spectra","whether to save complex spectra when saving trials (always saved for averages)",,
"ts_freqanalysis_fieldtrip","savesingles_flag",1,"edit","basic","single precision","whether to save data with single precision instead of double",,
"ts_freqanalysis_fieldtrip","verbose",1,"edit","basic",,,,
,"visualreject_flag",0,"edit",,,,,
"ts_freqanalysis_fieldtrip","trials_flag",0,"edit","basic","save trial data","whether to save trials in addition to averages",,
"ts_freqanalysis_fieldtrip","detrend","no","edit","basic",,,,
"ts_freqanalysis_fieldtrip","lnfilter","no","edit","basic","notch linefilter",,,
"ts_freqanalysis_fieldtrip","lnfreq",60,"edit","basic","notch linefilter freq",,,
"ts_freqanalysis_fieldtrip","lpfilter","no","edit","basic","lowpass",,,
"ts_freqanalysis_fieldtrip","lpfreq",200,"edit","basic","lowpass freq",,,
"ts_freqanalysis_fieldtrip","hpfilter","no","edit","basic","highpass",,,
"ts_freqanalysis_fieldtrip","hpfreq","[]","edit","basic","highpass freq",,,
"ts_freqanalysis_fieldtrip","blc","no","edit","basic","baseline correction",,,
"ts_freqanalysis_fieldtrip","blcwindow","all","edit","basic","baseline window",,,
"ts_freqband_average","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Freq-band averaging"
"ts_freqband_average","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_freqband_average","save_flag",1,"edit","basic",,,,
"ts_freqband_average","cluster_flag",0,"edit","basic",,"Whether to submit job to cluster",,
"ts_freqband_average","datafile","[]","edit","basic",,,"infile",
"ts_freqband_average","inpath","matfiles/timefreq","edit",,,"subdirectory within rootindir to search for required data files by default",,
"ts_freqband_average","outpath","matfiles/timefreq/bands","edit",,,"subdirectory within rootoutdir to save results by default",,
,"prefix",,"edit",,,,,
"ts_freqband_average","loop_param","freqband","edit",,,,,
"ts_freqband_average","freqband","all","edit","basic",,,,
"ts_freqband_average","events","[]","edit","basic",,,,
,"conditions","[]","edit",,,,,
"ts_freqband_average","chantype","all","edit","basic",,"{''mag'' ''grad'' ''grad1'' ''grad2'' ''eeg'' ''other'' ''meg'' ''all''}",,
,"channel","[]","edit","basic","channels",,,
"ts_freqband_average","findex","[]","edit","basic","freq indices","index into the frequency vector indicating which frequencies to average",,
"ts_freqband_average","blc",0,"edit","basic","baseline correction",,,
"ts_freqband_average","baselinetype","zscore","edit","basic",,"{''zscore'' ''relative'' ''relchange'' ''absolute''}",,
"ts_freqband_average","blcwindow","[-inf 0]","edit","basic","baseline window",,,
,"baseline_data","[]","edit",,,,,
"ts_freqband_average","baselinefile","[]","edit","basic",,,"infile",
,"verbose",1,"edit",,,,,
"ts_freqband_average","freqcorr",0,"edit","basic","freq correction","whether to correct for frequency drop-off in power",,
"ts_freqband_average","toilim","[]","edit","basic","time limits","time limits [begin end] in seconds",,
"ts_freqband_average","rejectfile","[]","edit","basic",,"MAT file containing reject_data","infile",
,"reject_data","[]","edit",,,,,
"ts_timefreq_rejection","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Time-frequency rejection"
"ts_timefreq_rejection","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_timefreq_rejection","save_flag",0,"edit","basic",,"whether to save the result or pass it to the next function",,
"ts_timefreq_rejection","events","[]","edit","basic",,"event codes of conditions to process",,
"ts_timefreq_rejection","method","summary","edit","basic",,,,
"ts_timefreq_rejection","metric","var","edit","basic",,,,
"ts_timefreq_rejection","latency","[]","edit","basic",,"[begin end]: x-limits that are plotted",,
"ts_timefreq_rejection","badchanfile","[]","edit","basic",,,"infile",
"ts_timefreq_rejection","badchans","[]","edit","basic",,,,
"ts_timefreq_rejection","rejectfile","[]","edit","basic",,,"infile",
"ts_timefreq_rejection","toilim","[]","edit","basic","time limits","[begin end]: data that is processed",,
"ts_timefreq_rejection","fpath","[]","edit",,"outpath","path for saving reject_data","getdir",
"ts_timefreq_rejection","fname","[]","edit",,"outname","mat-file name for reject_data",,
"ts_timefreq_baseline","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Time-frequency baseline"
"ts_timefreq_baseline","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_timefreq_baseline","save_flag",0,"edit","basic",,"whether to save the result or pass it to the next function",,
"ts_timefreq_baseline","events","[]","edit","basic",,"event codes of conditions to process",,
"ts_timefreq_baseline","blcwindow","[-inf 0]","edit","basic","baseline window","baseline window",,
"ts_timefreq_baseline","toilim","[]","edit","basic","time limits","time limits [begin end] in seconds",,
"ts_timefreq_baseline","foi","[]","edit","basic","frequencies","Frequencies of interest (Hz)",,
"ts_timefreq_baseline","rejectfile","[]","edit","basic",,"MAT file containing reject_data","infile",
"ts_PLV","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Synchrony metrics"
"ts_PLV","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_PLV","dataskip","chan","edit",,,"dataskip can help specify input files. Any files with names containing the dataskip string will be skipped.",,
"ts_PLV","cluster_flag",,"edit","basic",,"Whether to submit job to cluster",,
"ts_PLV","inpath","matfiles/timefreq","edit",,,"subdirectory within rootindir to search for required data files by default",,
"ts_PLV","outpath","matfiles/timefreq","edit",,,"subdirectory within rootoutdir to save results by default",,
"ts_PLV","loop_param","{'events' 'neweventcodes'}","edit",,,,,
"ts_PLV","save_flag",1,"edit","basic",,,,
"ts_PLV","foi","[]","edit",,"frequencies","vector of frequencies of interest",,
"ts_PLV","foilim","[]","edit","basic","freq limits","frequency limits [low high] in Hz",,
"ts_PLV","band",0,"edit","basic","avgoverband","whether to average the metric over frequencies before returning the result",,
"ts_PLV","events","[]","edit","basic",,"Event codes to process: {[e1],[e2],...}",,
"ts_PLV","channelcmb","all","edit","basic",,"pair-wise channel combinations for which to calculate synchrony metrics: {''chan1'' ''chan2''; ''chan1'' ''chan3''}",,
,"verbose",1,"edit",,,,,
"ts_PLV","output","plv","edit","basic",,"{''plv'' ''lag'' ''coh'' ''mscoh'' ''coherency''}",,
"ts_PLV","load_flag",0,"edit","basic",,"Whether TF trial data is saved in one file per channel per condition (1) or not (0); if 0 then it is assumed the data have been passed directly",,
"ts_PLV","combine_flag",0,"edit","basic",,"Whether to concatenate conditions or process them independently",,
"ts_PLV","neweventcodes","[]","edit","basic",,"Like neweventcodes in ts_combine_conditions",,
"ts_PLV","rejectfile","[]","edit","basic",,,"infile",
"ts_dSPM","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"dSPM"
"ts_dSPM","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_dSPM","loop_param","{'conditions' 'ncov_conditions'}","edit",,,,,
"ts_dSPM","subjdir",,"edit","basic",,"getenv(''SUBJECTS_DIR'')","getdir",
"ts_dSPM","rootoutdir","pwd","edit","basic",,,"getdir",
"ts_dSPM","prefix","dSPM","edit","basic",,,,
"ts_dSPM","conditions","[]","edit","basic",,,,
"ts_dSPM","lh_dip_file","bem/lh_white.dip","edit","basic",,,"infile",
"ts_dSPM","rh_dip_file","bem/rh_white.dip","edit","basic",,,"infile",
"ts_dSPM","lh_dip_info","[]","edit",,,,,
"ts_dSPM","rh_dip_info","[]","edit",,,,,
"ts_dSPM","lh_dec_file","bem/lh_white_7.dec","edit","basic",,,"infile",
"ts_dSPM","rh_dec_file","bem/rh_white_7.dec","edit","basic",,,"infile",
"ts_dSPM","lh_dec_dips","[]","edit",,,,,
"ts_dSPM","rh_dec_dips","[]","edit",,,,,
"ts_dSPM","ncov_type",2,"edit",,,"[0 2]",,
"ts_dSPM","identity_ncov_flag",0,"edit","basic",,"[false true]",,
"ts_dSPM","calc_avg_ncov_flag",0,"edit","basic",,"[false true]",,
"ts_dSPM","ncov_conditions","[]","edit","basic",,,,
"ts_dSPM","calc_scalefacts_flag",0,"edit",,,"[false true]",,
"ts_dSPM","noise_start","[]","edit","basic",,"[-inf inf]",,
"ts_dSPM","baseline_start","-Inf","edit","basic",,"[-inf inf]",,
"ts_dSPM","baseline_end",0,"edit","basic",,,,
"ts_dSPM","baseline_flag",1,"edit","basic",,,,
"ts_dSPM","ssp_projmap","[]","edit","basic",,,,
"ts_dSPM","SNR",10,"edit","basic",,"[eps inf]",,
"ts_dSPM","noisenorm_flag",1,"edit","basic",,"[false true]",,
"ts_dSPM","depthweight_flag",0,"edit","basic",,"[false true]",,
"ts_dSPM","depthweight_p",0.5,"edit","basic",,,,
"ts_dSPM","bem_flag",1,"edit","basic",,"[false true]",,
"ts_dSPM","radii","[]","edit",,,,,
"ts_dSPM","conductivities","[0.3 0.012 0.3]","edit",,,,,
"ts_dSPM","conduct_scalefact",1,"edit",,,"[0 inf]",,
"ts_dSPM","nlayers",3,"edit","basic",,"[1 3]",,
"ts_dSPM","badchans","[]","edit",,,,,
"ts_dSPM","badchanfile","[]","edit",,,,,
"ts_dSPM","usegrad_flag",1,"edit","basic",,"[false true]",,
"ts_dSPM","usemag_flag",1,"edit","basic",,"[false true]",,
"ts_dSPM","useEEG_flag",1,"edit","basic",,"[false true]",,
"ts_dSPM","grad_scalefact","10^13","edit",,,"[-inf inf]",,
"ts_dSPM","mag_scalefact","10^15","edit",,,"[-inf inf]",,
"ts_dSPM","EEG_scalefact","10^6","edit",,,"[-inf inf]",,
"ts_dSPM","overwrite_output_flag",1,"edit",,,"[false true]",,
"ts_dSPM","write_stc_flag",1,"edit","basic",,"[false true]",,
"ts_dSPM","stc_scalefact",1,"edit",,,"[eps inf]",,
"ts_dSPM","write_mgh_flag",0,"edit","basic",,"[false true]",,
"ts_dSPM","sparsesmooth",10,"edit","basic",,"[0 1000]",,
"ts_dSPM","postsmooth",10,"edit","basic",,"[0 1000]",,
"ts_dSPM","mbmask_flag",0,"edit","basic",,"[false true]",,
"ts_dSPM","resamp2ico_flag",0,"edit","basic",,"[false true]",,
"ts_dSPM","icolevel",7,"edit","basic",,"[1 7]",,
"ts_dSPM","icosmooth",3,"edit","basic",,"[0 1000]",,
"ts_dSPM","write_fif_flag",0,"edit","basic",,"[false true]",,
"ts_dSPM","template_fif","[]","edit","basic",,,"infile",
"ts_dSPM","bem_surf_files","{'bem/inner_skull4.tri' 'bem/outer_skull4.tri' 'bem/outer_scalp4.tri'}","edit","basic",,,"infile",
"ts_dSPM","cen_sph","[]","edit",,,,,
"ts_dSPM","trans","[]","edit",,,,,
"ts_dSPM","transfile","[]","edit","basic",,,"infile",
"ts_dSPM","alignment_fif","[]","edit","basic",,,"infile",
"ts_dSPM","lh_sourcecov_wfile","[]","edit","basic",,,"infile",
"ts_dSPM","rh_sourcecov_wfile","[]","edit","basic",,,"infile",
"ts_dSPM","sourcecov_thresh",0,"edit",,,"[-inf inf]",,
"ts_dSPM","sourcecov_thresh_abs_flag",1,"edit",,,"[false true]",,
"ts_dSPM","sourcecov_maxvar",0.9,"edit",,,"[0 1]",,
"ts_dSPM","sourcecov_minvar",0.09,"edit",,,"[0 1]",,
"ts_dSPM","overwrite_forward_flag",0,"edit",,,"[false true]",,
"ts_dSPM","overwrite_inverse_flag",0,"edit",,,"[false true]",,
"ts_dSPM","refEEG_coords","[]","edit",,,,,
"ts_dSPM","amd_inverse_flag",1,"edit",,,"[false true]",,
"ts_dSPM","orient_constr_flag",0,"edit",,,"[false true]",,
"ts_dSPM","orient_tang",0,"edit",,,"[0 1]",,
"ts_dSPM","smooth_constr_flag",0,"edit",,,"[false true]",,
"ts_dSPM","smooth_constr_nsmooth",10,"edit",,,"[1 100]",,
"ts_dSPM","smooth_constr_subfact",0.02,"edit",,,"[.01 .1]",,
"ts_dSPM","signed_sources_flag",1,"edit",,,"[false true]",,
"ts_tf_dSPM","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"TF dSPM"
"ts_tf_dSPM","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_tf_dSPM","loop_param","{'conditions' 'ncov_conditions'}","edit",,,,,
"ts_tf_dSPM","subjdir",,"edit","basic",,"getenv(''SUBJECTS_DIR'')","getdir",
"ts_tf_dSPM","rootoutdir","pwd","edit","basic",,,"getdir",
"ts_tf_dSPM","prefix","dSPM","edit","basic",,,,
"ts_tf_dSPM","conditions","[]","edit","basic",,,,
"ts_tf_dSPM","lh_dip_file","bem/lh_white.dip","edit","basic",,,"infile",
"ts_tf_dSPM","rh_dip_file","bem/rh_white.dip","edit","basic",,,"infile",
"ts_tf_dSPM","lh_dip_info","[]","edit",,,,,
"ts_tf_dSPM","rh_dip_info","[]","edit",,,,,
"ts_tf_dSPM","lh_dec_file","bem/lh_white_7.dec","edit","basic",,,"infile",
"ts_tf_dSPM","rh_dec_file","bem/rh_white_7.dec","edit","basic",,,"infile",
"ts_tf_dSPM","lh_dec_dips","[]","edit",,,,,
"ts_tf_dSPM","rh_dec_dips","[]","edit",,,,,
"ts_tf_dSPM","identity_ncov_flag",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","calc_avg_ncov_flag",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","ncov_conditions","[]","edit","basic",,,,
"ts_tf_dSPM","calc_scalefacts_flag",0,"edit",,,"[false true]",,
"ts_tf_dSPM","noise_start","[]","edit","basic",,"[-inf inf]",,
"ts_tf_dSPM","baseline_start","-Inf","edit","basic",,"[-inf inf]",,
"ts_tf_dSPM","baseline_end",0,"edit","basic",,,,
"ts_tf_dSPM","baseline_flag",1,"edit","basic",,,,
"ts_tf_dSPM","ssp_projmap","[]","edit","basic",,,,
"ts_tf_dSPM","SNR",10,"edit","basic",,"[eps inf]",,
"ts_tf_dSPM","noisenorm_flag",1,"edit","basic",,"[false true]",,
"ts_tf_dSPM","depthweight_flag",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","depthweight_p",0.5,"edit","basic",,"[0,1]",,
"ts_tf_dSPM","bem_flag",1,"edit","basic",,"[false true]",,
"ts_tf_dSPM","radii","[]","edit",,,,,
"ts_tf_dSPM","conductivities","[0.3 0.012 0.3]","edit",,,,,
"ts_tf_dSPM","conduct_scalefact",1,"edit",,,"[0 inf]",,
"ts_tf_dSPM","nlayers",3,"edit","basic",,"[1 3]",,
"ts_tf_dSPM","badchans","[]","edit",,,,,
"ts_tf_dSPM","badchanfile","[]","edit",,,,,
"ts_tf_dSPM","usegrad_flag",1,"edit","basic",,"[false true]",,
"ts_tf_dSPM","usemag_flag",1,"edit","basic",,"[false true]",,
"ts_tf_dSPM","useEEG_flag",1,"edit","basic",,"[false true]",,
"ts_tf_dSPM","grad_scalefact","10^13","edit",,,"[-inf inf]",,
"ts_tf_dSPM","mag_scalefact","10^15","edit",,,"[-inf inf]",,
"ts_tf_dSPM","EEG_scalefact","10^6","edit",,,"[-inf inf]",,
"ts_tf_dSPM","overwrite_output_flag",1,"edit",,,"[false true]",,
"ts_tf_dSPM","write_stc_flag",1,"edit","basic",,"[false true]",,
"ts_tf_dSPM","stc_scalefact",1,"edit",,,"[eps inf]",,
"ts_tf_dSPM","write_mgh_flag",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","write_mat_flag",1,"edit","basic",,"[false true]",,
"ts_tf_dSPM","sparsesmooth",10,"edit","basic",,"[0 1000]",,
"ts_tf_dSPM","postsmooth",10,"edit","basic",,"[0 1000]",,
"ts_tf_dSPM","mbmask_flag",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","resamp2ico_flag",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","icolevel",7,"edit","basic",,"[1 7]",,
"ts_tf_dSPM","icosmooth",3,"edit","basic",,"[0 1000]",,
"ts_tf_dSPM","write_fif_flag",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","template_fif","[]","edit","basic",,,"infile",
"ts_tf_dSPM","bem_surf_files","{'bem/inner_skull4.tri' 'bem/outer_skull4.tri' 'bem/outer_scalp4.tri'}","edit","basic",,,"infile",
"ts_tf_dSPM","cen_sph","[]","edit",,,,,
"ts_tf_dSPM","trans","[]","edit",,,,,
"ts_tf_dSPM","transfile","[]","edit","basic",,,"infile",
"ts_tf_dSPM","alignment_fif","[]","edit","basic",,,"infile",
"ts_tf_dSPM","lh_sourcecov_wfile","[]","edit","basic",,,"infile",
"ts_tf_dSPM","rh_sourcecov_wfile","[]","edit","basic",,,"infile",
"ts_tf_dSPM","sourcecov_thresh",0,"edit",,,"[-inf inf]",,
"ts_tf_dSPM","sourcecov_thresh_abs_flag",1,"edit",,,"[false true]",,
"ts_tf_dSPM","sourcecov_maxvar",0.9,"edit",,,"[0 1]",,
"ts_tf_dSPM","sourcecov_minvar",0.09,"edit",,,"[0 1]",,
"ts_tf_dSPM","overwrite_forward_flag",0,"edit",,,"[false true]",,
"ts_tf_dSPM","overwrite_inverse_flag",0,"edit",,,"[false true]",,
"ts_tf_dSPM","refEEG_coords","[]","edit",,,,,
"ts_tf_dSPM","amd_inverse_flag",1,"edit",,,"[false true]",,
"ts_tf_dSPM","orient_constr_flag",0,"edit",,,"[false true]",,
"ts_tf_dSPM","orient_tang",0,"edit",,,"[0 1]",,
"ts_tf_dSPM","smooth_constr_flag",0,"edit",,,"[false true]",,
"ts_tf_dSPM","smooth_constr_nsmooth",10,"edit",,,"[1 100]",,
"ts_tf_dSPM","smooth_constr_subfact",0.02,"edit",,,"[.01 .1]",,
"ts_tf_dSPM","signed_sources_flag",1,"edit",,,"[false true]",,
"ts_tf_dSPM","tf_flag",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","inv_ncov","[]","edit","basic",,,,
"ts_tf_dSPM","inv_type","data","edit","basic",,"{'data' 'room'}",,
"ts_tf_dSPM","tfvals","[]","edit","basic",,,,
"ts_tf_dSPM","plv_flag",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","tf_power_flag",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","first_trial","[]","edit","basic",,,,
"ts_tf_dSPM","err_flag",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","h2write","{'lh' 'rh'}","edit","basic",,,,
"ts_tf_dSPM","cortex_only",0,"edit","basic",,"[false true]",,
"ts_tf_dSPM","parc_files","[]","edit","basic",,,,
"ts_tf_dSPM","verbose",0,"edit",,,"[false true]",,
"ts_preproc","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Preprocessing"
"ts_preproc","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_preproc","save_flag",0,"edit","basic",,"whether to save the result or pass it to the next function",,
"ts_preproc","events","[]","edit","basic",,,,
"ts_preproc","fieldtrip_flag",0,"edit","basic",,"options: {0 or 1}",,
,"bandpass_flag",0,"edit",,,,,
,"bandpass_low_cf",0.2,"edit",,,,,
,"bandpass_low_tb",0.4,"edit",,,,,
,"bandpass_high_cf",50,"edit",,,,,
,"bandpass_high_tb",10,"edit",,,,,
"ts_preproc","dsfact",1,"edit","basic","downsample factor","the factor used for downsampling the data",,
,"detrend_flag",0,"edit",,,,,
,"baseline_flag",1,"edit",,,,,
,"baseline_start","-Inf","edit",,,,,
,"baseline_end",0,"edit",,,,,
,"keeptrials","[]","edit",,,,,
"ts_preproc","combinations","[]","edit",,,,,
"ts_preproc","comboeventcodes","[]","edit",,,,,
"ts_preproc","calc","weighted","edit",,,,,
,"cfg","[]","edit",,,,,
,"feedback","none","edit",,,,,
"ts_preproc","lpfilter","no","edit","basic","lowpass","lowpass filter",,
"ts_preproc","lpfreq","[]","edit","basic","lowpass freq","lowpass  frequency in Hz",,
"ts_preproc","lpfiltord",6,"edit",,"lowpass order","lowpass filter order",,
"ts_preproc","lpfilttype","but","edit",,"lowpass type","digital filter type - ""but"" (default) or ""fir""",,
"ts_preproc","lpfiltdir","twopass","edit",,"lowpass direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_preproc","hpfilter","no","edit","basic","highpass","highpass filter",,
"ts_preproc","hpfreq","[]","edit","basic","highpass freq","highpass frequency in Hz",,
"ts_preproc","hpfiltord",6,"edit",,"highpass order","highpass filter order",,
"ts_preproc","hpfilttype","but","edit",,"highpass type","digital filter type - ""but"" (default) or ""fir""",,
"ts_preproc","hpfiltdir","twopass","edit",,"highpass direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_preproc","bpfilter","no","edit","basic","bandpass","bandpass filter",,
"ts_preproc","bpfreq","[]","edit","basic","bandpass freqs","bandpass frequency range - specified as [low high] in Hz",,
"ts_preproc","bpfiltord",4,"edit",,"bandpass order","bandpass filter order",,
"ts_preproc","bpfilttype","but","edit",,"bandpass type","digital filter type - ""but"" (default) or ""fir""",,
"ts_preproc","bpfiltdir","twopass","edit",,"bandpass direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_preproc","bsfilter","no","edit","basic","bandstop","bandstop filter",,
"ts_preproc","bsfreq","[]","edit","basic","bandstop freqs","bandstop frequency range - specified as [low high] in Hz",,
"ts_preproc","bsfiltord",4,"edit",,"bandstop order","bandstop filter order",,
"ts_preproc","bsfilttype","but","edit",,"bandstop type","digital filter type - ""but"" (default) or ""fir""",,
"ts_preproc","bsfiltdir","twopass","edit",,"bandstop direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_preproc","lnfilter","no","edit","basic","linenotchfilter","line noise removal using notch filter",,
"ts_preproc","lnfreq",60,"edit","basic","linenotchfilter freq","line noise frequency in Hz - default 50Hz",,
"ts_preproc","lnfiltord",4,"edit",,"linenotchfilter order","jump preserving median filter",,
"ts_preproc","dftfilter","no","edit","basic","lineDFTfilter","line noise removal using discrete fourier transform",,
"ts_preproc","dftfreq","[60 120 180]","edit","basic","lineDFTfilter freq","line noise frequencies for DFT filter - default [60 120 180] Hz",,
"ts_preproc","medianfilter","no","edit",,"medianfilter","jump preserving median filter",,
"ts_preproc","medianfiltord",9,"edit",,"medianfilter order","length of median filter",,
"ts_preproc","blc","no","edit","basic","baseline correction","yes/no - baseline correction",,
"ts_preproc","blcwindow","[-inf 0]","edit","basic","baseline window","[begin end] in seconds",,
"ts_preproc","detrend","no","edit","basic",,"yes/no - linear detrending",,
"ts_preproc","polyremoval","no","edit",,,"yes/no - polynomial detrending",,
"ts_preproc","latency","[]","edit","basic","time limits",,,
"ts_preproc","polyorder",2,"edit",,,"integer - order of polynomial when detrending",,
"ts_preproc","hilbert","no","edit",,,,,
"ts_preproc","rectify","no","edit",,,,,
"ts_preproc","precision","double","edit",,,,,
"ts_preproc","reref","no","edit",,,,,
"ts_preproc","refchannel","[]","edit",,,,,
"ts_preproc","implicitref","[]","edit",,,,,
"ts_preproc","montage","no","edit",,,,,
"ts_preproc","saveepochs_flag",0,"edit",,,"options: {0,1}",,
"ts_preproc","saveaverages_flag",0,"edit",,,"options: {0,1}",,
"ts_preproc","returnepochs_flag",1,"edit",,,"options: {0,1}",,
"ts_preproc","returnaverages_flag",0,"edit",,,"options: {0,1}",,
"ts_preproc","saveavgs","no","edit",,,"options: {''yes'' ''no''}",,
"ts_preproc","saveepochs","no","edit",,,"options: {''yes'' ''no''}",,
"ts_preproc","returnavgs","no","edit",,,"options: {''yes'' ''no''}",,
"ts_preproc","returnepochs","no","edit",,,"options: {''yes'' ''no''}",,
"ts_preproc","rootoutdir","pwd","edit",,,,,
"ts_preproc","prefix","preproc","edit",,,,,
"ts_preproc","filename","[]","edit",,,,,
"ts_preproc","overwrite",0,"edit",,,"options: {0 or 1}",,
"ts_preproc","verbose",1,"edit",,,"options: {0 or 1}",,
"ts_reject","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Rejection"
"ts_reject","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_reject","save_flag",0,"edit","basic",,"whether to save the result or pass it to the next function",,
"ts_reject","reject_mag",10000,"edit",,,"automatic rejection threshold for magnetometer channels (fT) if 0 then rejection based on magnetometers is disabled *************THIS SAYS THE DEFAULT IS 6000",,
"ts_reject","reject_grad",6000,"edit",,,"automatic rejection threshold for gradiometer channels (fT/cm) if 0 then rejection based on gradiometers is disabled**************THIS SAYS THE DEFAULT IS 3000",,
"ts_reject","reject_eeg",0,"edit",,,"automatic rejection threshold for eeg channels (uV) if 0 then rejection based on eeg is disabled",,
