"SeriesType","matchi Manufacturer","match SeriesDescription","matchi SeriesDescription","match SequenceName","match ScanningSequence","match SequenceLabel","matchi SequenceLabel","exact SequenceVariant","match ImageType","exact MRAcquisitionType","exact magnitude_flag","match rfrxcoiltype","match ScanOptions","expr FlipAngle","exact InversionTime","expr InversionTime","expr RepetitionTime","exact ndiffdirs","exact nimgs","expr nimgs","expr SliceThickness","exact Rows","exact Columns","exact NumberOfPhaseEncodingSteps","expr NumberOfPhaseEncodingSteps","exact pepolar","exact pe_rev_flag","exact pe_for_flag","expr pe_extra_val","expr InPlaneRot","expr tensor_fnum","set pepolar","set nb0","set bval","set ndiffdirs","set gradwarpinfo_dot_unwarpflag"
"FLASHhi","GE",,,"EFGRE3D",,,,,,,,,"FILTERED_GEMS",">=10",,,,,,,,,,,,,,,,,,,,,,
"FLASHhi","GE",,,"3DGRASS",,,,,,,,,,,0,,">10",,,,,,,,,,,,,,,,,,,
"MPR","GE",,,"EFGRE3D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLASHlo","GE",,,"3DGRASS",,,,,,,,,,"<10",,,">10",,,,,,,,,,,,,,,,,,,
"XetaT2","GE",,,,,"xeta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XetaT2","GE",,,"spc3d1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XetaT2","GE",,,,,"Cube",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T2STAR","GE",,,"fl3d\d\d$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DTI_flex","GE",,,,,"epi2_pepolarFLEX",,,,,,,,,,,,,,,,,,,,,,,,,">0",,,,,0
"DTI_ipp","GE",,,,,"epi2_pepolarFLEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"DTI_ipp","GE",,,,,"epi2_pepolar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"DTI_rev","GE",,,,,,"MMILDTI",,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,0
"DTI","GE",,,,,,"MMILDTI",,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,0
"LOCALIZER","GE",,,"FGRE",,,,,,"2D",,,,,,,,,,,,,,,,,,,,,,,,,,
"LOCALIZER","GE",,,"3.Plane",,,,,,"2D",,,,,,,,,,,,,,,,,,,,,,,,,,
"UNKNOWN","GE",,,"EFGRE3D",,,,,,,,"UNKNOWN",,,,,"<10",,,,,,,,,,,,,,,,,,,
"B1BC_mag","GE",,,"EFGRE3D",,,,,,,1,"BODY",,,,,"<10",,,,,,,,,,,,,,,,,,,
"B1BC_phi","GE",,,"EFGRE3D",,,,,,,0,"BODY",,,,,"<10",,,,,,,,,,,,,,,,,,,
"FLASHhi","GE",,,"EFGRE3D",,,,,,,,,,,,,"<10",,,"> 100","<= 1.5",,,,"> 100",,,,,,,,,,,
"B1HC_mag","GE",,,"EFGRE3D",,,,,,,1,,,,,,"<10",,,,,,,,,,,,,,,,,,,
"B1HC_phi","GE",,,"EFGRE3D",,,,,,,0,,,,,,"<10",,,,,,,,,,,,,,,,,,,
"TSE2D","GE",,,"FSE",,,,,,"2D",,,,,,,,,,,,,,,,,,,,,,,,,,
"BOLD_pep","GE",,,,,"epi_pepolar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"BOLD_bu","GE",,,,,"epiRT_pepolarAPE",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
"BOLD_td","GE",,,,,"epiRT_pepolarAPE",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"BOLD_ape","GE",,,,,"epiRT_pepolarAPE",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0
"BOLD_ape","GE",,,,,"epiRT_pepolarAPE",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0
"BOLD_bu","GE",,,,,"epiRT_pepolarAPE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOLD_bu","GE",,,,"EP\\R","epiRT_pepolar",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
"BOLD_td","GE",,,,"EP\\R","epiRT_pepolar",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"BOLD_ipp","GE",,,,"EP\\R","epiRT_pepolar",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0
"BOLD_ipp","GE",,,,"EP\\R","epiRT_pepolar",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0
"BOLD_bu","GE",,,,"EP\\R","epiRT_pepolar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOLD_bu","GE",,,,"EP\\R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOLD_bu","GE",,,,"EP\\GR","epiRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPR","GE",,,,"GR",,,,,"3D",,,,,,,,,,">= 124","<= 1.5",,,,,,,,,,,,,,,
"MPR","PHILIPS",,,,"GR",,,,,"3D",,,,,,,,,,,"<= 1.5",,,,,,,,,,,,,,,
"MPR","PHILIPS",,,,"GR",,,"MP",,,,,,,,,,,,,"<= 1.5",,,,,,,,,,,,,,,
"TSE2D","PHILIPS",,,,"SE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPR","SIEMENS",,,"tfl3d1",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"MPR","SIEMENS",,,"tfl3d1",,,,,"ORIGINAL\\PRIMARY\\M\\DIS2D",,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDIChi","SIEMENS",,,"fl3d\d_ns",,,,,,,1,,,">= 10",,,"> 10",,,,,,,,,,,,,,,,,,,
"MEDIClo","SIEMENS",,,"fl3d\d_ns",,,,,,,1,,,"< 10",,,"> 10",,,,,,,,,,,,,,,,,,,
"FLASHhi","SIEMENS",,,"fl3d\d",,,,,,,1,,,">= 10",,,"> 10",,,,,,,,,,,,,,,,,,,
"FLASHlo","SIEMENS",,,"fl3d\d",,,,,,,1,,,"< 10",,,"> 10",,,,,,,,,,,,,,,,,,,
"XetaT2","SIEMENS",,,"spc3d1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DTI_rev","SIEMENS",,,"epse2d1_96",,,,,,,,,,,,,,,,,,,,,,,,,"> 10",,,1,1,,,
"DTI","SIEMENS",,,"epse2d1_96",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,
"BOLD_pep","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,2,,,,,,,,,,"> 4",,,2,1,,,
"BOLD_pep","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,2,,,,,,,,,,"> 4",,,3,1,,,
"BOLD_SE","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,0
"BOLD_SE","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,,,,,,,,,,,"> 4",,,1,1,,,0
"BOLD_SE","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,0
"BOLD_SE","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,1,,,,,1,,,,0
"BOLD_SE","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,,,,"> 0.2",,1,,,,0
"DTI_rev","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,
"DTI_rev","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,,,,,,"> 0.2",,1,,,,
"BOLD_SE","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,,1,,,,0,,,,0
"BOLD_SE","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,,,,"> 0.2",,0,,,,0
"DTI","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,
"DTI","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,,,,,,"> 0.2",,0,,,,
"LOCALIZER","SIEMENS",,,"fl2d1",,,,,,"2D",,,,,,,,,,"<= 6",,,,,,,,,,,,,,,,
"UNKNOWN","SIEMENS",,,"fl3d1_ns$",,,,,,,,"UNKNOWN",,,,,,,,,,128,128,128,,,,,,,,,,,,
"B1BC_mag","SIEMENS",,,"fl3d1_ns$",,,,,,,1,"BODY",,,,,,,,,,128,128,128,,,,,,,,,,,,
"B1BC_phi","SIEMENS",,,"fl3d1_ns$",,,,,,,,"BODY",,,,,,,,,,128,128,128,,,,,,,,,,,,
"B1HC_mag","SIEMENS",,,"fl3d1_ns$",,,,,,,1,,,,,,,,,,,128,128,128,,,,,,,,,,,,
"B1HC_phi","SIEMENS",,,"fl3d1_ns$",,,,,,,,,,,,,,,,,,128,128,128,,,,,,,,,,,,
"TSE2D","SIEMENS",,,"tse2d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOLD_td","SIEMENS",,,"epfid2d1",,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0
"BOLD_bu","SIEMENS",,,"epfid2d1",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
